COLLOCATE	太	很	蠻	超	SUMABSDEV	LARGESTPREF
一樣	5.99873305457306	-2.2272664130801	0.532335972543171	-0.828320199193564	9.5866556393899	太
誇張	3.28709279434762	-1.66576284659526	-1.56450814168501	2.46596421157135	8.98332799419923	太
溫暖	5.40038883681725	-1.68365515214194	-0.581043736901897	-0.626151215142187	8.29123894100328	太
甜	4.423285289134	-1.12109852390287	-0.821719933058607	-0.885511540550474	7.25161528664596	太
舊	4.67687392299763	-1.45808813296748	-0.503198636866885	-0.542262858923629	7.18042355175562	太
賺	2.92738420147473	-1.45808813296748	1.48408814559818	-0.542262858923629	6.41182333896402	太
可能	3.88528629431865	-1.08970929646728	-0.581043736901897	-0.626151215142187	6.18219054283002	太
胖	3.32752044969949	-1.35114236213144	-0.649626646806572	0.728394035365637	6.05668349400314	太
嚴重	2.28060672514653	-1.12109852390287	1.61219936174978	-0.885511540550474	5.89941615134966	太
去	3.81865156755761	-1.19052397525924	-0.410859966529304	-0.442755770275237	5.86279127962139	太
敢	3.81865156755761	-1.19052397525924	-0.410859966529304	-0.442755770275237	5.86279127962139	太
死板	3.81865156755761	-1.19052397525924	-0.410859966529304	-0.442755770275237	5.86279127962139	太
自信	3.81865156755761	-1.19052397525924	-0.410859966529304	-0.442755770275237	5.86279127962139	太
記得	3.81865156755761	-1.19052397525924	-0.410859966529304	-0.442755770275237	5.86279127962139	太
軟	3.81865156755761	-1.19052397525924	-0.410859966529304	-0.442755770275237	5.86279127962139	太
過份	3.81865156755761	-1.19052397525924	-0.410859966529304	-0.442755770275237	5.86279127962139	太
過於	3.81865156755761	-1.19052397525924	-0.410859966529304	-0.442755770275237	5.86279127962139	太
久	2.16788267520593	0.325709173644818	-2.3602108166821	-0.970763953286838	5.82456661881968	太
危險	2.92738420147473	-0.77225853365182	-0.503198636866885	-0.542262858923629	4.74510423091706	太
成熟	2.92738420147473	-0.77225853365182	-0.503198636866885	-0.542262858923629	4.74510423091706	太
抽象	2.92738420147473	-0.77225853365182	-0.503198636866885	-0.542262858923629	4.74510423091706	太
重	2.00463864870746	0.0249437719310016	-1.08703329510886	-1.17142165968712	4.28803737543444	太
硬	2.28060672514653	-0.281132239492473	-0.821719933058607	-0.885511540550474	4.26897043824808	太
大	2.44495369501813	-0.475283908270609	-0.498494273356689	-0.836635637476084	4.25536751412151	太
小	1.42802376817832	-0.633416235447577	-0.999341186686225	1.12527018632729	4.18605137663941	太
了解	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
困難	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
國中生	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
夠用	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
大力	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
好意思	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
安靜	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
懶惰	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
操累	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
氣	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
理性	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
用	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
確定	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
粗糟	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
聒噪	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
迅速	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
