CONSTRUCTION	WORD
很	上來
很	上來
很	上進
很	上進
很	上進
很	上進
很	下面
很	上心
很	不解
很	健康
很	像
很	像
很	像
很	入流
很	公平
很	合
很	喜歡
很	如
很	屬靈
很	屬靈
很	屬靈
很	快樂
很	想
很	方便
很	會
很	爽
很	禮貌
很	能
很	舒服
很	舒服
很	離散
很	高興
很	一定
很	一定
很	夠意思
很	如
很	不幸
很	不幸
很	不滿
很	爽
很	爽
很	不錯
很	不錯
很	不錯
很	不錯
很	不錯
很	不錯
很	不錯
很	主觀
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	久
很	乖
很	乖
很	乖
很	乖
很	乖
很	乖
很	乾淨
很	乾淨
很	乾淨
很	亂
很	亂
很	亂
很	了不起
很	了不起
很	亮
很	亮
很	介意
很	仔細
很	仔細
很	以前
很	任性
很	低
很	低姿態
很	低級
很	便宜
很	便宜
很	便宜
很	便宜
很	便宜
很	便宜
很	便宜
很	便宜
很	俗豔
很	俗豔
很	信
很	值得
很	偏
很	偏
很	偏激
很	偏遠
很	偏遠
很	健康
很	傷
很	傻眼
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	想
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	像
很	優
很	兇
很	兇
很	兇
很	兇
很	兇
很	兇
很	兇
很	兇
很	兇
很	兇
很	兇
很	兇
很	入迷
很	入迷
很	八卦
很	八股
很	公主
很	冷
很	冷
很	凶
很	刺眼
很	刻意
很	刻意
很	劇烈
很	努力
很	努力
很	危險
很	厚
很	厚
很	厚
很	厚
很	厲害
很	厲害
很	厲害
很	厲害
很	厲害
很	厲害
很	厲害
很	厲害
很	厲害
很	厲害
很	厲害
很	厲害
很	反對
很	古老
很	可怕
很	可怕
很	可怕
很	可怕
很	可怕
很	可愛
很	可愛
很	可愛
很	可愛
很	可愛
很	可愛
很	可愛
很	可愛
很	可愛
很	可愛
很	可愛
很	可憐
很	可憐
很	可憐
很	可憐
很	可憐
很	可憐
很	可憐
很	可憐
很	可憐
很	可憐
很	可憐
很	可能
很	台灣
很	吃力
很	靠近
很	吵
很	吵
很	吵
很	吵
很	吵
很	善於
很	善良
很	喘
很	喜歡
很	喜歡
很	喜歡
很	喜歡
很	喜歡
很	喜歡
很	喜歡
很	喜歡
很	喜歡
很	喜歡
很	喜歡
很	喜歡
很	喜歡
很	喜歡
很	喜歡
很	喜歡
很	喜歡
很	喜歡
